Name: Player4, Score: 1816
Name: Player10, Score: 1792
Name: Player3, Score: 1646
Name: Player1, Score: 1454
Name: Player5, Score: 1379
Name: Player7, Score: 1293
Name: Player9, Score: 795
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: w, Score: 475
Name: Player6, Score: 404
Name: Player8, Score: 40
Name: Player2, Score: 23
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
Name: e, Score: 15
